Date,STOCKS,STOCKS_TR,BONDS,GOLD
1968-04-01,92.480000,100.000000,1.000000,37.700000
1968-04-02,92.640000,100.185302,1.001824,37.300000
1968-04-03,93.470000,101.095218,1.012466,37.600000
1968-04-04,93.840000,101.507828,1.010257,36.950000
1968-04-05,93.290000,100.925363,1.010478,37.000000
1968-04-08,94.950000,102.733632,1.009083,37.050000
1968-04-10,95.670000,103.525282,1.010112,37.700000
1968-04-11,96.530000,104.468620,1.009525,38.000000
1968-04-16,96.620000,104.578862,1.003517,38.000000
1968-04-17,96.810000,104.797367,1.003741,37.800000
1968-04-18,97.080000,105.102525,1.002359,37.550000
1968-04-19,95.850000,103.783799,0.992960,37.650000
1968-04-22,95.320000,103.222685,0.991599,38.000000
1968-04-23,96.620000,104.643152,0.995793,38.400000
1968-04-24,96.920000,104.980926,0.996816,38.250000
1968-04-25,96.620000,104.668878,0.997042,38.300000
1968-04-26,97.210000,105.320893,0.998066,38.650000
1968-04-29,97.970000,106.157251,0.996695,38.750000
1968-04-30,97.460000,105.617679,0.996124,39.100000
1968-05-01,97.970000,106.183114,0.997148,39.200000
1968-05-02,98.590000,106.867906,0.994982,39.450000
1968-05-03,98.660000,106.956682,0.992025,39.100000
1968-05-06,98.350000,106.633522,0.993841,39.750000
1968-05-07,98.900000,107.242715,0.993274,39.300000
1968-05-08,98.910000,107.266502,0.992707,39.750000
1968-05-09,98.390000,106.715516,0.993730,39.700000
1968-05-10,98.500000,106.847704,0.993958,39.600000
1968-05-13,98.190000,106.524327,0.994187,39.500000
1968-05-14,98.120000,106.461242,0.992029,39.800000
1968-05-15,98.070000,106.419841,0.989877,40.250000
1968-05-16,97.600000,105.922668,0.986147,41.250000
1968-05-17,96.900000,105.175761,0.984800,41.500000
1968-05-20,96.450000,104.700023,0.981880,42.300000
1968-05-21,96.930000,105.233717,0.977400,42.400000
1968-05-22,97.180000,105.517835,0.977633,41.550000
1968-05-23,96.970000,105.302552,0.980995,41.400000
1968-05-24,97.150000,105.510729,0.982798,41.750000
1968-05-27,96.990000,105.349694,0.986175,41.500000
1968-05-28,97.620000,106.046709,0.984829,41.500000
1968-05-29,97.920000,106.385405,0.984273,41.600000
1968-05-31,98.680000,107.223948,0.991592,41.950000
1968-06-04,100.380000,109.083797,0.998403,41.150000
1968-06-05,99.890000,108.564189,0.996236,41.200000
1968-06-06,100.650000,109.403002,0.994871,41.200000
1968-06-07,101.270000,110.089836,0.995897,41.250000
1968-06-10,101.410000,110.255027,0.997721,41.300000
1968-06-11,101.660000,110.539849,0.998749,41.550000
1968-06-13,101.250000,110.107086,1.001606,41.300000
1968-06-14,101.130000,109.989588,1.005040,41.000000
1968-06-17,100.130000,108.914968,1.006072,40.700000
1968-06-18,99.990000,108.775543,1.006300,41.100000
1968-06-20,101.510000,110.441939,1.014014,41.100000
1968-06-21,100.660000,109.530186,1.015863,41.050000
1968-06-24,100.390000,109.249324,1.015276,40.900000
1968-06-25,100.080000,108.924865,1.013065,40.950000
1968-06-27,99.980000,108.828887,1.012708,40.900000
1968-06-28,99.580000,108.406333,1.013745,40.900000
1968-07-01,99.400000,108.223260,1.015594,40.800000
1968-07-02,99.740000,108.606299,1.019070,40.900000
1968-07-03,100.910000,109.893210,1.020111,41.050000
1968-07-08,101.940000,111.027961,1.023829,40.850000
1968-07-09,102.230000,111.357007,1.025692,39.800000
1968-07-11,102.390000,111.544523,1.025320,39.100000
1968-07-12,102.340000,111.503307,1.024724,39.300000
1968-07-15,102.260000,111.429393,1.022490,39.200000
1968-07-16,101.700000,110.832420,1.021898,38.500000
1968-07-18,101.440000,110.562242,1.023165,38.000000
1968-07-19,100.460000,109.507250,1.025846,38.700000
1968-07-22,99.330000,108.288497,1.032637,38.600000
1968-07-23,99.210000,108.170541,1.038643,39.000000
1968-07-25,97.940000,106.798689,1.039917,38.900000
1968-07-26,98.340000,107.247560,1.038474,38.900000
1968-07-29,97.650000,106.507803,1.037035,39.100000
1968-07-30,97.740000,106.618623,1.037258,39.000000
1968-08-01,97.280000,106.129846,1.040193,38.900000
1968-08-02,96.630000,105.433663,1.043744,38.850000
1968-08-05,96.850000,105.686571,1.041460,38.950000
1968-08-06,97.250000,106.135962,1.040849,38.700000
1968-08-08,97.040000,105.919724,1.042124,38.450000
1968-08-09,97.010000,105.899903,1.040679,38.550000
1968-08-12,98.010000,107.004463,1.038404,38.600000
1968-08-13,98.530000,107.585240,1.037796,38.900000
1968-08-15,98.070000,107.096092,1.036583,39.150000
1968-08-16,98.680000,107.775302,1.039295,39.150000
1968-08-19,99.000000,108.137946,1.038687,39.150000
1968-08-20,98.960000,108.107449,1.038911,39.550000
1968-08-22,98.700000,107.836606,1.033549,39.750000
1968-08-23,98.690000,107.838838,1.036255,39.500000
1968-08-26,98.940000,108.125172,1.037309,39.500000
1968-08-27,98.810000,107.996296,1.037533,39.650000
1968-08-29,98.740000,107.932966,1.040475,39.850000
1968-08-30,98.860000,108.077307,1.041531,39.800000
1968-09-03,99.320000,108.593024,1.042588,39.950000
1968-09-04,100.020000,109.371269,1.041144,39.900000
1968-09-05,100.740000,110.171567,1.038870,40.100000
1968-09-06,101.200000,110.687710,1.037433,39.900000
1968-09-09,101.230000,110.733661,1.036828,40.050000
1968-09-10,100.730000,110.199863,1.035395,40.030000
1968-09-12,100.520000,109.983201,1.037505,40.100000
1968-09-13,100.860000,110.368264,1.038561,40.150000
1968-09-16,101.240000,110.797187,1.040449,40.300000
1968-09-17,101.500000,111.094883,1.040674,40.300000
1968-09-19,101.590000,111.206577,1.043619,40.450000
1968-09-20,101.660000,111.296403,1.042174,40.400000
1968-09-23,102.240000,111.944592,1.042400,40.400000
1968-09-24,102.590000,112.341101,1.043459,40.450000
1968-09-26,102.360000,112.102574,1.043075,40.450000
1968-09-27,102.310000,112.061121,1.042466,40.130000
1968-09-30,102.670000,112.468733,1.040190,39.600000
1968-10-01,102.860000,112.689952,1.040416,39.450000
1968-10-03,103.220000,113.097467,1.040037,39.180000
1968-10-04,103.710000,113.647515,1.038600,39.050000
1968-10-07,103.700000,113.649779,1.036335,39.780000
1968-10-08,103.740000,113.706840,1.034905,39.600000
1968-10-10,103.290000,113.226835,1.032053,39.050000
1968-10-11,103.180000,113.119427,1.032283,39.280000
1968-10-14,103.320000,113.286074,1.031687,39.300000
1968-10-15,103.530000,113.529511,1.029441,39.100000
1968-10-17,104.010000,114.069080,1.035676,39.280000
1968-10-18,104.820000,114.970689,1.036734,39.100000
1968-10-21,104.990000,115.170528,1.036133,39.000000
1968-10-22,104.570000,114.723202,1.036363,39.050000
1968-10-24,103.840000,113.935670,1.034334,39.200000
1968-10-25,104.200000,114.343926,1.035392,39.250000
1968-10-28,103.900000,114.028025,1.034793,39.480000
1968-10-29,103.300000,113.382804,1.034196,39.500000
1968-10-31,103.410000,113.516733,1.035484,39.000000
1968-11-01,103.060000,113.145589,1.035714,39.180000
1968-11-04,103.100000,113.202525,1.034288,39.200000
1968-11-06,103.270000,113.402210,1.035346,39.530000
1968-11-07,103.500000,113.667827,1.034749,39.300000
1968-11-08,103.950000,114.175116,1.033325,39.400000
1968-11-12,104.620000,114.924161,1.031076,39.680000
1968-11-13,105.130000,115.497617,1.032958,39.880000
1968-11-14,105.200000,115.587812,1.033190,39.900000
1968-11-15,105.780000,116.238385,1.031769,40.000000
1968-11-18,105.920000,116.405604,1.029526,39.950000
1968-11-19,106.140000,116.660779,1.027288,40.230000
1968-11-21,105.970000,116.487354,1.028578,40.250000
1968-11-22,106.300000,116.863511,1.027989,40.000000
1968-11-25,106.480000,117.074848,1.027401,40.100000
1968-11-26,107.260000,117.945931,1.026813,39.700000
1968-11-27,107.760000,118.509318,1.027048,39.900000
1968-11-29,108.370000,119.193805,1.025640,39.850000
1968-12-02,108.120000,118.932470,1.016849,40.150000
1968-12-03,108.020000,118.836075,1.011392,40.280000
1968-12-05,107.670000,118.464623,1.014300,40.350000
1968-12-06,107.930000,118.764241,1.016161,40.500000
